Pembicara,Tema,Menit,Teks
Moderator,Visi Misi,36.18,hadirin sekalian pada debat kelima ini tema yang diangkat adalah pendidikan kesehatan
Moderator,Visi Misi,36.24,Ketenagakerjaan kebudayaan teknologi informasi Kesejahteraan Sosial dan
Moderator,Visi Misi,36.30,inklusi Anggi Iya benar sekali Andro tentunya ini merupakan tema yang sangat bersentuhan langsung dengan masyarakat
Moderator,Visi Misi,36.37,dan kita akan melihat dari dua sisi sisi para kandidat dan Calon pemilih yang
Moderator,Visi Misi,36.43,akan menilai debat malam hari ini pastinya ini akan menjadi catatan demokrasi perjalanan bangsa Indonesia
Moderator,Visi Misi,36.51,hadirin sekalian baik kita akan langsung memulai debat sesi pertama dengan mendengarkan visi misi dan program kerja
Moderator,Visi Misi,37.00,masing-masing calon presiden ya andro dan pemirsa jika pada debat sebelumnya
Moderator,Visi Misi,37.05,diawali dari kandidat nomor urut 1 di debat kali ini akan dimulai dari kandidat nomor urut 2 kami persilakan
Moderator,Visi Misi,37.13,calon Presiden nomor urut 2 Bapak prabowo Subianto untuk menyampaikan visi misi
Moderator,Visi Misi,37.18,dan program kerja waktu Bapak 4 menit dimulai dari Anda berbicara
Prabowo,Visi Misi,37.25,asalamualaikum warahmatullahi wabarakatuh Shalom Om Swastiastu namo Budha saudara-saudara
Prabowo,Visi Misi,37.34,sekalian Prabowo Gibran memiliki rencana besar yang kita beri nama strategi
Prabowo,Visi Misi,37.41,transformasi bangsa inti daripada strategi ini Tentunya
Prabowo,Visi Misi,37.47,adalah meningkatkan kemakmuran bangsa Indonesia dan terutama memperbaiki
Prabowo,Visi Misi,37.54,kualitas hidup manusia Indonesia seluruh rakyat Indonesia salah satu proyek
Prabowo,Visi Misi,38.00,strategis kita intinya adalah memberi makan bergizi untuk seluruh anak-anak
Prabowo,Visi Misi,38.07,Indonesia termasuk yang masih dalam kandungan Ibunya dan selama sekolah sampai dari
Prabowo,Visi Misi,38.16,usia dini sampai dewasa ini akan mengatasi angka kematian ibu waktu lahir
Prabowo,Visi Misi,38.26,ini akan mengatasi kurang gizi anak stunting ini akan menghilangkan
Prabowo,Visi Misi,38.32,kemiskinan ekstrem ini akan menyerap semua hasil panen para petani dan
Prabowo,Visi Misi,38.39,nelayan ini akan meningkatkan pertumbuhan ekonomi kita minimal sekitar
Prabowo,Visi Misi,38.46,1 setengah sampai 2 persen dengan demikian kita mengatasi masalah-masalah fundamental
Prabowo,Visi Misi,38.52,dalam memperbaiki kualitas hidup rakyat Indonesia menghilangkan kemiskinan dari bumi
Prabowo,Visi Misi,39.00,Indonesia di bidang kesehatan kami akan membangun rumah sakit modern di setiap
Prabowo,Visi Misi,39.07,kabupaten dan kota dan Puskesmas modern di setiap desa di seluruh Indonesia kami
Prabowo,Visi Misi,39.15,akan segera mempercepat mengatasi kekurangan dokter di Indonesia
Prabowo,Visi Misi,39.25,kita kekurangan sekitar 140 ribu dokter dan itu akan segera kita atasi dengan cara kita akan menambah fakultas kedokteran di
Prabowo,Visi Misi,39.32,Indonesia dari yang sekarang 92 kita akan membangun 300 fakultas kedokteran
Prabowo,Visi Misi,39.38,kita juga akan mengirim 10 ribu anak-anak pintar dari SMA lulusan SMA kita akan
Prabowo,Visi Misi,39.43,beri beasiswa ke luar negeri untuk belajar kedokteran dan 10 ribu lagi untuk
Prabowo,Visi Misi,39.49,Belajar sains teknologi engineering dan matematik kimia biologi dan fisika itu
Prabowo,Visi Misi,39.55,kita rebut teknologi kita rebut sains saudara-saudara sekalian kita
Prabowo,Visi Misi,40.01,juga akan membangun 3 juta rumah untuk mereka yang
Prabowo,Visi Misi,40.07,belum punya rumah 1 juta di pedesaan 1 juta di pesisir 1 juta di perkotaan
Prabowo,Visi Misi,40.14,saudara-saudara sekalian kita yakin bahwa pendidikan
Prabowo,Visi Misi,40.20,strategis kita harus memperbaiki gaji guru termasuk gaji honorer meningkatkan
Prabowo,Visi Misi,40.27,kompetensi guru kita harus memberi pelatihan-pelatihan
Prabowo,Visi Misi,40.32,penataran-penataran dan juga seluruh penyelenggara negara ASN TNI Polri penyuluh-penyuluh
Prabowo,Visi Misi,40.41,pertanian di mana-mana harus kita perbaiki gajinya sehingga kualitas hidup
